num,sf,shift,LM,MW,C,N,P,O,cansmi,envlab,mw,P_oxidation_state,P_valence
Lan1-CMP1,BrCl2PS,-11.5,CDCl3,213.848761,0,0,1,0,ClP(=S)(Br)Cl,Br1Cl1Cl1S2,213.851,5,5.0
Lan1-CMP25,Cl3PS,22.3,CDCl3,169.397761,0,0,1,0,ClP(=S)(Cl)Cl,Cl1Cl1Cl1S2,169.4,5,5.0
Lan1-CMP40,CH3Cl2OP,44.1,CDCl3,132.913681,1,0,1,1,CP(=O)(Cl)Cl,C1Cl1Cl1O2,132.91400000000002,5,5.0
Lan1-CMP55,C2H5Cl2OP,54.4,CDCl3,146.940261,2,0,1,1,CCP(=O)(Cl)Cl,C1Cl1Cl1O2,146.941,5,5.0
Lan1-CMP59,C2H5O3P,20.2,CDCl3,108.033061,2,0,1,3,C=CP(=O)(O)O,C1O1O1O2,108.03299999999996,5,5.0
Lan1-CMP62,C2H6ClO2P,42.8,CDCl3,128.494601,2,0,1,2,COP(=O)(Cl)C,C1Cl1O1O2,128.49499999999998,5,5.0
Lan1-CMP63,C2H6ClO2P,42.9,CDCl3,128.494601,2,0,1,2,COP(=O)(Cl)C,C1Cl1O1O2,128.49499999999998,5,5.0
Lan1-CMP64,C2H6ClO3P,6.34,CDCl3,144.494001,2,0,1,3,COP(=O)(OC)Cl,Cl1O1O1O2,144.49399999999997,5,5.0
Lan1-CMP68,C2H7O2PS,75.0,CDCl3,126.114541,2,0,1,2,COP(=S)OC,H1O1O1S2,126.117,5,5.0
Lan1-CMP72,C2H7O3P,34.6,CDCl3,110.048941,2,0,1,3,COP(=O)(O)C,C1O1O1O2,110.04899999999998,5,5.0
Lan1-CMP76,C2H8NO2PS,76.24,CDCl3,141.129181,2,1,1,2,COP(=S)(OC)N,N1O1O1S2,141.13199999999998,5,5.0
Lan1-CMP77,C2H8NOPS2,37.4,CDCl3,157.194781,2,1,1,1,COP(=S)(SC)N,N1O1S1S2,157.2,5,5.0
Lan1-CMP90,C3H9O3PS,32.4,CDCl3,156.140521,3,0,1,3,COP(=O)(SC([2H])([2H])[2H])OC,O1O1O2S1,159.16130533399996,5,5.0
Lan1-CMP92,C3H7N3O3PS+,8.12,CDCl3,196.144741,3,3,1,3,OP(=O)(CN[n+]1ncsc1)O,C1O1O1O2,196.14800000000005,5,5.0
Lan1-CMP94,C3H7Cl2OP,54.6,CDCl3,160.966841,3,0,1,1,CCCP(=O)(Cl)Cl,C1Cl1Cl1O2,160.968,5,5.0
Lan1-CMP96,C3H7NO3PS-,48.8,CDCl3,168.131341,3,1,1,3,COP(=S)(NC(=O)C)[O-],N1O1O1S2,168.134,5,5.0
Lan1-CMP101,C3H7O3P,2.4,CDCl3,122.059641,3,0,1,3,O=P1OCCCO1,H1O1O1O2,122.06,5,5.0
Lan1-CMP103,C3H8ClO2P,40.7,CDCl3,142.521181,3,0,1,2,CCOP(=O)(Cl)C,C1Cl1O1O2,142.522,5,5.0
